partition,replay,ordering,requests,trie_nodes,naive_nodes,node_compression_ratio,total_tool_tokens,reusable_tool_tokens,cacheable_block_tokens,estimated_block_reuse_ratio,block_size
toolret_gold,empirical,original,7961,9952,14106,0.294485,1312998,374622,353312,0.269088,16
toolret_gold,empirical,alphabetical,7961,9766,14106,0.30767,1312998,374170,352688,0.268613,16
toolret_gold,empirical,random_seed_7,7961,9911,14106,0.297391,1312998,362084,340976,0.259693,16
toolret_gold,empirical,random_seed_42,7961,9753,14106,0.308592,1312998,372039,350592,0.267016,16
toolret_gold,empirical,random_seed_101,7961,9909,14106,0.297533,1312998,368519,347024,0.264299,16
toolret_gold,empirical,frequency,7961,8904,14106,0.368779,1312998,436548,411584,0.313469,16
toolret_gold,empirical,schema_cost_weighted,7961,8954,14106,0.365235,1312998,442184,417488,0.317965,16
toolret_gold,empirical,fp_tree_global,7961,8904,14106,0.368779,1312998,436548,411584,0.313469,16
toolret_gold,uniform,original,7961,6756,14168,0.523151,1311198,675974,643488,0.490763,16
toolret_gold,uniform,alphabetical,7961,6633,14168,0.531832,1311198,676607,644144,0.491264,16
toolret_gold,uniform,random_seed_7,7961,6737,14168,0.524492,1311198,669654,637488,0.486187,16
toolret_gold,uniform,random_seed_42,7961,6643,14168,0.531126,1311198,675285,643088,0.490458,16
toolret_gold,uniform,random_seed_101,7961,6716,14168,0.525974,1311198,674883,642352,0.489897,16
toolret_gold,uniform,frequency,7961,6111,14168,0.568676,1311198,714441,679744,0.518414,16
toolret_gold,uniform,schema_cost_weighted,7961,6142,14168,0.566488,1311198,717939,683424,0.521221,16
toolret_gold,uniform,fp_tree_global,7961,6111,14168,0.568676,1311198,714441,679744,0.518414,16
toolret_gold,skewed,original,7961,3397,24466,0.861154,1251709,1016040,967184,0.772691,16
toolret_gold,skewed,alphabetical,7961,3246,24466,0.867326,1251709,1022891,973856,0.778021,16
toolret_gold,skewed,random_seed_7,7961,3370,24466,0.862258,1251709,1014153,965200,0.771106,16
toolret_gold,skewed,random_seed_42,7961,3236,24466,0.867735,1251709,1021999,973216,0.77751,16
toolret_gold,skewed,random_seed_101,7961,3387,24466,0.861563,1251709,1016814,967808,0.773189,16
toolret_gold,skewed,frequency,7961,2705,24466,0.889438,1251709,1052633,1001856,0.800391,16
toolret_gold,skewed,schema_cost_weighted,7961,2721,24466,0.888784,1251709,1054400,1003632,0.801809,16
toolret_gold,skewed,fp_tree_global,7961,2705,24466,0.889438,1251709,1052633,1001856,0.800391,16
toolret_gold,session_bursty,original,7961,9952,14106,0.294485,1312998,374622,353312,0.269088,16
toolret_gold,session_bursty,alphabetical,7961,9766,14106,0.30767,1312998,374170,352688,0.268613,16
toolret_gold,session_bursty,random_seed_7,7961,9911,14106,0.297391,1312998,362084,340976,0.259693,16
toolret_gold,session_bursty,random_seed_42,7961,9753,14106,0.308592,1312998,372039,350592,0.267016,16
toolret_gold,session_bursty,random_seed_101,7961,9909,14106,0.297533,1312998,368519,347024,0.264299,16
toolret_gold,session_bursty,frequency,7961,8904,14106,0.368779,1312998,436548,411584,0.313469,16
toolret_gold,session_bursty,schema_cost_weighted,7961,8954,14106,0.365235,1312998,442184,417488,0.317965,16
toolret_gold,session_bursty,fp_tree_global,7961,8904,14106,0.368779,1312998,436548,411584,0.313469,16
bfcl_exposed,empirical,original,1240,1689,1917,0.118936,201584,23625,22144,0.10985,16
bfcl_exposed,empirical,alphabetical,1240,1598,1917,0.166406,201584,32782,31008,0.153822,16
bfcl_exposed,empirical,random_seed_7,1240,1600,1917,0.165363,201584,31364,29440,0.146043,16
bfcl_exposed,empirical,random_seed_42,1240,1606,1917,0.162233,201584,30575,28720,0.142472,16
bfcl_exposed,empirical,random_seed_101,1240,1607,1917,0.161711,201584,31194,29408,0.145885,16
bfcl_exposed,empirical,frequency,1240,1513,1917,0.210746,201584,40335,38064,0.188825,16
bfcl_exposed,empirical,schema_cost_weighted,1240,1523,1917,0.205529,201584,40057,37824,0.187634,16
bfcl_exposed,empirical,fp_tree_global,1240,1513,1917,0.210746,201584,40335,38064,0.188825,16
bfcl_exposed,uniform,original,1240,1144,1887,0.393747,196955,77140,73104,0.371171,16
bfcl_exposed,uniform,alphabetical,1240,1095,1887,0.419714,196955,81703,77472,0.393349,16
bfcl_exposed,uniform,random_seed_7,1240,1097,1887,0.418654,196955,80969,76640,0.389124,16
bfcl_exposed,uniform,random_seed_42,1240,1098,1887,0.418124,196955,81070,76800,0.389937,16
bfcl_exposed,uniform,random_seed_101,1240,1099,1887,0.417594,196955,81223,76992,0.390912,16
bfcl_exposed,uniform,frequency,1240,1054,1887,0.441441,196955,85483,80976,0.41114,16
bfcl_exposed,uniform,schema_cost_weighted,1240,1060,1887,0.438262,196955,85365,80896,0.410733,16
bfcl_exposed,uniform,fp_tree_global,1240,1054,1887,0.441441,196955,85483,80976,0.41114,16
bfcl_exposed,skewed,original,1240,1085,2633,0.587923,274743,161025,156112,0.568211,16
bfcl_exposed,skewed,alphabetical,1240,1018,2633,0.613369,274743,167805,162688,0.592146,16
bfcl_exposed,skewed,random_seed_7,1240,1017,2633,0.613749,274743,167075,161760,0.588768,16
bfcl_exposed,skewed,random_seed_42,1240,1020,2633,0.612609,274743,166683,161456,0.587662,16
bfcl_exposed,skewed,random_seed_101,1240,1023,2633,0.61147,274743,167013,161904,0.589293,16
bfcl_exposed,skewed,frequency,1240,948,2633,0.639954,274743,174216,168656,0.613868,16
bfcl_exposed,skewed,schema_cost_weighted,1240,958,2633,0.636156,274743,173812,168288,0.612529,16
bfcl_exposed,skewed,fp_tree_global,1240,948,2633,0.639954,274743,174216,168656,0.613868,16
bfcl_exposed,session_bursty,original,1240,1689,1917,0.118936,201584,23625,22144,0.10985,16
bfcl_exposed,session_bursty,alphabetical,1240,1598,1917,0.166406,201584,32782,31008,0.153822,16
bfcl_exposed,session_bursty,random_seed_7,1240,1600,1917,0.165363,201584,31364,29440,0.146043,16
bfcl_exposed,session_bursty,random_seed_42,1240,1606,1917,0.162233,201584,30575,28720,0.142472,16
bfcl_exposed,session_bursty,random_seed_101,1240,1607,1917,0.161711,201584,31194,29408,0.145885,16
bfcl_exposed,session_bursty,frequency,1240,1513,1917,0.210746,201584,40335,38064,0.188825,16
bfcl_exposed,session_bursty,schema_cost_weighted,1240,1523,1917,0.205529,201584,40057,37824,0.187634,16
bfcl_exposed,session_bursty,fp_tree_global,1240,1513,1917,0.210746,201584,40335,38064,0.188825,16
