partition,tool_1,tool_2,count
toolret_gold,get_closing_parenthesis,stack_insert,70
toolret_gold,get_closing_parenthesis,stack_pop,70
toolret_gold,stack_insert,stack_pop,70
toolret_gold,create_object_dict,update_object_dict,62
toolret_gold,create_object_dict,get_final_object,62
toolret_gold,update_object_dict,get_final_object,62
toolret_gold,divide_remain,check_validity,38
toolret_gold,update_orientation,update_location,30
toolret_gold,multiply,add_subtract_hadamard,23
toolret_gold,clock_alarm_cancel,clock_alarm_set,22
toolret_gold,Finish,ReportGenerator,21
toolret_gold,add_subtract_hadamard,kronecker,21
toolret_gold,train_ticket_booking,search_train,20
toolret_gold,conference_room_query,conference_room_booking,19
toolret_gold,URL_Link_Shortener_Get_a_list_of_domains,bitly_shorten,18
toolret_gold,sum_over_axis,add_subtract_hadamard,18
toolret_gold,add_subtract_hadamard,transpose,18
toolret_gold,file_modify,file_write,18
toolret_gold,Vimeo_SearchVideos,YTStream_Download_YouTube_Videos_Download_Stream,17
toolret_gold,multiply,kronecker,17
toolret_gold,multiply,transpose,16
toolret_gold,AnalyticsTool,Finish,14
toolret_gold,Finish,KeywordExtractor,13
toolret_gold,URL_Link_Shortener_Create_a_new_link,bitly_shorten,13
toolret_gold,sum_over_axis,multiply,13
toolret_gold,Search Place,Search/Autocomplete API,13
toolret_gold,clock_alarm_cancel,clock_alarm_change,13
toolret_gold,get_translation_nllb,get_translation_baidu,12
toolret_gold,DataAnalyzer,Finish,12
toolret_gold,sum_over_axis,kronecker,12
bfcl_exposed,math.circle_area,math.triangle_area_base_height,2
bfcl_exposed,country_info.capital,country_info.largest_city,2
bfcl_exposed,country_info.capital,country_info.population,2
bfcl_exposed,country_info.largest_city,country_info.population,2
bfcl_exposed,weather.get_by_city_date,weather.get_by_coordinates_date,2
bfcl_exposed,weather.get_by_city_date,weather.get_forecast_by_coordinates,2
bfcl_exposed,weather.get_by_coordinates_date,weather.get_forecast_by_coordinates,2
bfcl_exposed,ecological_impact.analyze,wildlife_population.assess_growth,2
bfcl_exposed,property_valuation.get,realestate.find_properties,2
bfcl_exposed,calculate_average,calculate_standard_deviation,2
bfcl_exposed,calculate_average,highest_grade,2
bfcl_exposed,calculate_standard_deviation,highest_grade,2
bfcl_exposed,financial_ratios.calculate_ROA,financial_ratios.calculate_ROE,2
bfcl_exposed,sculptor_info.get,sculpture_availability.check,2
bfcl_exposed,sculptor_info.get,sculpture_price.calculate,2
bfcl_exposed,sculpture_availability.check,sculpture_price.calculate,2
bfcl_exposed,sports_data.basketball.most_points_career,sports_data.basketball.most_points_single_game,2
bfcl_exposed,sports_data.basketball.most_points_career,sports_data.basketball.most_points_single_season,2
bfcl_exposed,sports_data.basketball.most_points_single_game,sports_data.basketball.most_points_single_season,2
bfcl_exposed,basketball.player_stats.get,basketball.team_stats.get,2
bfcl_exposed,chess_club_details.find,route_planner.calculate_route,2
bfcl_exposed,convert.rgb_to_hex,perform.string_reverse,2
bfcl_exposed,convert.rgb_to_hex,solve.quadratic_equation,2
bfcl_exposed,perform.string_reverse,solve.quadratic_equation,2
bfcl_exposed,functions.intersect,functions.zero,2
bfcl_exposed,geometry_circle.calculate,geometry_rectangle.calculate,2
bfcl_exposed,geometry_circle.calculate,geometry_square.calculate,2
bfcl_exposed,geometry_rectangle.calculate,geometry_square.calculate,2
bfcl_exposed,calculate_derivative,calculate_integral,2
bfcl_exposed,math.gcd,math.lcm,2
